Id,Player,Said,To,In response to,Created at
204762,Player #39584,Hello AQS,ubc air quality sensor,,2021-10-07 22:25:26 UTC
204565,Player #39541,Ramp amp mp p,ubc air quality sensor,What do you think RAMP stands for?,2021-10-07 00:10:13 UTC
204564,Player #39541,Yes,ubc air quality sensor,"Do you see an idling (running, but not moving) bus or vehicle? (Yes, No)",2021-10-07 00:09:58 UTC
204563,Player #39541,I don't know,ubc air quality sensor,Why do you think I have been put here?,2021-10-07 00:09:48 UTC
204562,Player #39541,Low-risk,ubc air quality sensor,"Do you think UBC's campus has been deemed 'Low-Risk' or 'High-Risk', by British Columbia's Air Quality Health Index? ",2021-10-07 00:09:35 UTC
204561,Player #39541,No,ubc air quality sensor,"Do you suffer from asthma attacks? (Yes, No)",2021-10-07 00:08:09 UTC
204560,Player #39541,Hello AQS #5,ubc air quality sensor,,2021-10-07 00:04:42 UTC
204557,Player #39538,Hello AQS #8,ubc air quality sensor,,2021-10-06 23:11:14 UTC
204249,Player #39473,HELLO AQS #6,ubc air quality sensor,,2021-10-06 00:31:22 UTC
204151,Player #39456,HELLO AQS #5,ubc air quality sensor,,2021-10-05 16:11:46 UTC
203958,Player #39416,No,ubc air quality sensor,"Do you drive to campus? 🚗 (Yes, No)",2021-10-03 18:18:23 UTC
203957,Player #39416,No,ubc air quality sensor,"Do you suffer from asthma attacks? (Yes, No)",2021-10-03 18:18:07 UTC
203956,Player #39416,No,ubc air quality sensor,"Do you see an idling (running, but not moving) bus or vehicle? (Yes, No)",2021-10-03 18:17:55 UTC
203955,Player #39416,Hello AQS #5,ubc air quality sensor,,2021-10-03 18:17:27 UTC
203848,Player #39397,Hello AQS #6,ubc air quality sensor,,2021-10-03 03:41:44 UTC
203758,Player #39374,To observe the facts about air quality at ubc,ubc air quality sensor,Why do you think I have been put here?,2021-10-01 23:55:58 UTC
203757,Player #39374,Low risk,ubc air quality sensor,"Do you think UBC's campus has been deemed 'Low-Risk' or 'High-Risk', by British Columbia's Air Quality Health Index? ",2021-10-01 23:55:16 UTC
203756,Player #39374,Hello AQS #5,ubc air quality sensor,,2021-10-01 22:55:59 UTC
203703,Player #39361,Hello AQS #4,ubc air quality sensor,,2021-10-01 09:54:06 UTC
203702,Player #39360,Yes,ubc air quality sensor,"Do you drive to campus? 🚗 (Yes, No)",2021-10-01 09:51:22 UTC
203701,Player #39360,Yes,ubc air quality sensor,"Do you like to get involved in recreational activities around UBC? (Yes, No)",2021-10-01 09:51:20 UTC
203700,Player #39360,Yes,ubc air quality sensor,"Do you suffer from asthma attacks? (Yes, No)",2021-10-01 09:51:17 UTC
203699,Player #39360,Yes,ubc air quality sensor,"Do you see an idling (running, but not moving) bus or vehicle? (Yes, No)",2021-10-01 09:51:14 UTC
203698,Player #39360,I'm not sure,ubc air quality sensor,What do you think RAMP stands for?,2021-10-01 09:51:10 UTC
203697,Player #39360,Hello AQS #7,ubc air quality sensor,,2021-10-01 09:51:06 UTC
203696,Player #39360,Hello AQS #2,ubc air quality sensor,,2021-10-01 09:50:40 UTC
202854,Player #39197,Hello AQS #1,ubc air quality sensor,,2021-09-26 01:14:19 UTC
202853,Player #39196,Hello AQS #1,ubc air quality sensor,,2021-09-26 01:04:28 UTC
202747,Player #39167,Low-Risk',ubc air quality sensor,"Do you think UBC's campus has been deemed 'Low-Risk' or 'High-Risk', by British Columbia's Air Quality Health Index? ",2021-09-25 09:45:03 UTC
202746,Player #39167,CO2,ubc air quality sensor,I'm here to identify different sources of pollution - can you name any?,2021-09-25 09:44:53 UTC
202745,Player #39167,No,ubc air quality sensor,"Do you suffer from asthma attacks? (Yes, No)",2021-09-25 09:44:43 UTC
